time(s),Temperature (in),Heater 1 %(in),Heater 2 %(in)
323.13,30.5,100.0,0.0
324.252,30.5,100.0,0.0
325.371,30.5,100.0,0.0
326.493,30.5,100.0,0.0
327.611,30.5,100.0,0.0
328.734,30.5,100.0,0.0
329.851,30.5,100.0,0.0
330.97,30.5,100.0,0.0
332.092,30.5,100.0,0.0

333.21,30.5,100.0,0.0
334.335,30.5,100.0,0.0
335.451,30.5,100.0,0.0
336.573,30.5,100.0,0.0
337.691,30.5,100.0,0.0
338.813,31.0,100.0,0.0
339.935,30.5,100.0,0.0
341.054,30.5,100.0,0.0

342.172,31.0,100.0,0.0
343.294,31.0,100.0,0.0
344.412,31.0,100.0,0.0
345.534,31.0,100.0,0.0
346.653,31.0,100.0,0.0
347.775,31.0,100.0,0.0
348.893,31.0,100.0,0.0
350.015,31.0,100.0,0.0

351.135,31.0,100.0,0.0
352.252,31.0,100.0,0.0
353.374,31.0,100.0,0.0
354.492,31.0,100.0,0.0
355.614,31.0,100.0,0.0
356.739,31.0,100.0,0.0
357.856,31.0,100.0,0.0
358.973,31.0,100.0,0.0
360.095,31.0,100.0,0.0

361.213,31.0,100.0,0.0
362.336,31.0,100.0,0.0
363.454,31.0,100.0,0.0
364.576,31.0,100.0,0.0
365.694,31.0,100.0,0.0
366.816,31.0,100.0,0.0
367.935,31.0,100.0,0.0
369.057,31.0,100.0,0.0

370.175,31.0,100.0,0.0
371.297,31.0,100.0,0.0
372.415,31.0,100.0,0.0
373.534,31.0,100.0,0.0
374.656,31.0,100.0,0.0
375.774,31.0,100.0,0.0
376.896,31.0,100.0,0.0
378.015,31.0,100.0,0.0
379.137,31.0,100.0,0.0

380.255,31.0,100.0,0.0
381.377,31.0,100.0,0.0
382.495,31.0,100.0,0.0
383.618,31.0,100.0,0.0
384.736,31.0,100.0,0.0
385.859,31.0,100.0,0.0
386.976,31.0,100.0,0.0
388.101,31.0,100.0,0.0

389.216,31.0,100.0,0.0
390.339,31.0,100.0,0.0
391.457,31.0,100.0,0.0
392.575,31.0,100.0,0.0
393.711,31.0,100.0,0.0
394.816,31.0,100.0,0.0
395.938,31.0,100.0,0.0
397.056,31.0,100.0,0.0

398.179,31.0,100.0,0.0
399.296,31.0,100.0,0.0
400.419,31.0,100.0,0.0
401.537,31.0,100.0,0.0
402.659,31.0,100.0,0.0
403.777,31.0,100.0,0.0
404.899,31.0,100.0,0.0
406.018,31.0,100.0,0.0
407.14,31.0,100.0,0.0

408.258,31.0,100.0,0.0
409.38,31.0,100.0,0.0
410.509,31.0,100.0,0.0
411.621,31.0,100.0,0.0
412.739,31.0,100.0,0.0
413.857,31.0,100.0,0.0
414.979,31.0,100.0,0.0
416.101,31.0,100.0,0.0

417.22,31.0,100.0,0.0
418.338,31.0,100.0,0.0
419.46,31.0,100.0,0.0
420.579,31.0,100.0,0.0
421.701,31.0,100.0,0.0
422.819,31.5,100.0,0.0
423.941,31.5,100.0,0.0
425.059,31.5,100.0,0.0
426.182,31.5,100.0,0.0

427.3,31.5,100.0,0.0
428.422,31.5,100.0,0.0
429.54,31.5,100.0,0.0
430.662,31.5,100.0,0.0
431.781,31.5,100.0,0.0
432.903,31.5,100.0,0.0
434.021,31.5,100.0,0.0
435.139,31.5,100.0,0.0

436.261,31.5,100.0,0.0
437.38,31.5,100.0,0.0
438.502,31.5,100.0,0.0
439.62,31.5,100.0,0.0
440.743,31.5,100.0,0.0
441.86,31.5,100.0,0.0
442.985,31.5,100.0,0.0
444.101,31.5,100.0,0.0

445.223,31.5,100.0,0.0
446.341,31.5,100.0,0.0
447.463,31.5,100.0,0.0
448.582,31.5,100.0,0.0
449.704,31.5,100.0,0.0
450.822,31.5,100.0,0.0
451.945,31.5,100.0,0.0
453.063,31.5,100.0,0.0
454.185,31.5,100.0,0.0

455.303,31.5,100.0,0.0
456.421,31.5,100.0,0.0
457.547,31.5,100.0,0.0
458.662,31.5,100.0,0.0
459.784,31.5,100.0,0.0
460.902,31.5,100.0,0.0
462.024,31.5,100.0,0.0
463.142,31.5,100.0,0.0

464.268,31.5,100.0,0.0
465.383,31.5,100.0,0.0
466.508,31.5,100.0,0.0
467.623,31.5,100.0,0.0
468.746,31.5,100.0,0.0
469.867,31.5,100.0,0.0
470.986,31.5,100.0,0.0
472.104,31.5,100.0,0.0
473.235,31.5,100.0,0.0

474.344,31.5,100.0,0.0
475.467,31.5,100.0,0.0
476.585,31.5,100.0,0.0
477.703,31.5,100.0,0.0
478.825,31.5,100.0,0.0
479.944,31.5,100.0,0.0
481.067,31.5,100.0,0.0
482.184,31.5,100.0,0.0

483.306,31.5,100.0,0.0
484.425,31.5,100.0,0.0
485.547,31.5,100.0,0.0
486.667,31.5,100.0,0.0
487.787,31.5,100.0,0.0
488.905,31.5,100.0,0.0
490.027,31.5,100.0,0.0
491.145,31.5,100.0,0.0
492.268,31.5,100.0,0.0

493.386,31.5,100.0,0.0
494.52,31.5,100.0,0.0
495.627,31.5,100.0,0.0
496.749,31.5,100.0,0.0
497.869,31.5,100.0,0.0
498.985,31.5,100.0,0.0
500.107,31.5,100.0,0.0
501.225,31.5,100.0,0.0

502.348,31.5,100.0,0.0
503.466,31.5,100.0,0.0
504.588,31.5,100.0,0.0
505.706,32.0,100.0,0.0
506.829,32.0,100.0,0.0
507.947,32.0,100.0,0.0
509.069,32.0,100.0,0.0
510.187,32.0,100.0,0.0

511.309,32.0,100.0,0.0
512.428,32.0,100.0,0.0
513.55,32.0,100.0,0.0
514.668,32.0,100.0,0.0
515.79,32.0,100.0,0.0
516.909,32.0,100.0,0.0
518.032,32.0,100.0,0.0
519.149,32.0,100.0,0.0
520.267,32.0,100.0,0.0

521.392,32.0,100.0,0.0
522.508,32.0,100.0,0.0
523.632,32.0,100.0,0.0
524.748,32.0,100.0,0.0
525.87,32.0,100.0,0.0
526.989,32.0,100.0,0.0
528.111,32.0,100.0,0.0
529.229,32.0,100.0,0.0

530.351,32.0,100.0,0.0
531.469,32.0,100.0,0.0
532.592,32.0,100.0,0.0
533.71,32.0,100.0,0.0
534.833,32.0,100.0,0.0
535.95,32.0,100.0,0.0
537.072,32.0,100.0,0.0
538.191,32.0,100.0,0.0
539.309,32.0,100.0,0.0

540.431,32.0,100.0,0.0
541.549,32.0,100.0,0.0
542.672,32.0,100.0,0.0
543.79,32.0,100.0,0.0
544.912,32.0,100.0,0.0
546.034,32.0,100.0,0.0
